score,df,n_defs,tier_a_ratio,bilingual,bucket_code,head,en,key
0.7687,1,1,1.0,0.0,F,운영자,operator,operator
0.7687,1,1,1.0,0.0,F,운용자,deployer,deployer
0.7687,1,1,1.0,0.0,J,원격 생체 인식 시스템,remote biometric identification system,remote biometric identification system
0.7687,1,1,1.0,0.0,F,유통자,distributor,distributor
0.7687,1,1,1.0,0.0,F,의도된 목적,intended purpose,intended purpose
0.7687,1,1,1.0,0.0,I,입력 데이터,input data,input data
0.7687,1,1,1.0,0.0,D,재현 가능성,reproducibility,reproducibility
0.7687,1,1,1.0,0.0,F,적합성 평가,conformity assessment,conformity assessment
0.7687,1,1,1.0,0.0,F,적합성 평가기관,conformity assessment body,conformity assessment body
0.7687,1,1,1.0,0.0,A,정렬,Alignment,alignment
0.7687,1,1,1.0,0.0,F,제1조(목적) 인공지능 발전과 신뢰 기반 조성에 필요한 기 본적인 사항을 규정,제1조(목적) 인공지능 발전과 신뢰 기반 조성에 필요한 기 본적인 사항을 규정,제1조 목적 인공지능 발전과 신뢰 기반 조성에 필요한 기 본적인 사항을 규정
0.7687,1,1,1.0,0.0,F,제2조(정의) 법의 주요 용어 정의,제2조(정의) 법의 주요 용어 정의,제2조 정의 법의 주요 용어 정의
0.7687,1,1,1.0,0.0,F,중대 사고,serious incident,serious incident
0.7687,1,1,1.0,0.0,J,출시 후 모니터링,post-market monitoring,post market monitoring
0.7687,1,1,1.0,0.0,I,테스트 데이터,testing data,testing data
0.7687,1,1,1.0,0.0,E,통보 기관,notifying authority,notifying authority
0.7687,1,1,1.0,0.0,F,파운데이션 모델,Foundation model,foundation model
0.7687,1,1,1.0,0.0,J,포함하여,including,including
0.7687,1,1,1.0,0.0,I,학습 데이터,training data,training data
0.7687,1,1,1.0,0.0,C,합리적으로 예측 가능한 오용,reasonably foreseeable misuse,reasonably foreseeable misuse
0.7687,1,1,1.0,0.0,E,확인된,confirmed,confirmed
0.7687,1,1,1.0,0.0,A,환각,Hallucination,hallucination
0.7615,1,2,0.0,0.0,A,AI 정렬,AI 정렬,ai 정렬
0.7615,1,2,0.0,0.0,I,데이터 라벨링,데이터 라벨링,데이터 라벨링
0.7615,1,2,0.0,0.0,G,데이터 전처리,데이터 전처리,데이터 전처리
0.6246,1,1,0.0,1.0,I,AI Inference,AI Inference,ai inference
0.6246,1,1,0.0,1.0,D,AI Reasoning,AI Reasoning,ai reasoning
0.6246,1,1,0.0,1.0,B,AI 레드티밍의,AI 레드티밍의,ai 레드티밍의
0.6246,1,1,0.0,1.0,F,AI 반도체,AI 반도체,ai 반도체
0.6246,1,1,0.0,1.0,F,AI 생성 콘텐츠,AI 생성 콘텐츠,ai 생성 콘텐츠
0.6246,1,1,0.0,1.0,A,AI 피드백 기반 강화학습,AI 피드백 기반 강화학습,ai 피드백 기반 강화학습
0.6246,1,1,0.0,1.0,D,AI 행동계획,AI 행동계획,ai 행동계획
0.6246,1,1,0.0,1.0,F,AIaaS,AIaaS,aiaas
0.6246,1,1,0.0,1.0,H,G AN,G AN,g an
0.6246,1,1,0.0,1.0,I,LLM,LLM,llm
0.6246,1,1,0.0,1.0,E,공정 이용,공정 이용,공정 이용
